adcost_summary_30
21 January 2026 - 19 February 2026
Day,Clicks,Impr.,Currency code,Cost
2026-01-21,39,"1,952",GBP,10.93
2026-01-22,37,"1,968",GBP,10.30
2026-01-23,36,"1,506",GBP,9.90
2026-01-24,41,"1,777",GBP,10.00
2026-01-25,33,"1,417",GBP,10.43
2026-01-26,24,"1,083",GBP,9.14
2026-01-27,26,"1,007",GBP,10.50
2026-01-28,29,"1,351",GBP,8.72
2026-01-29,36,"1,252",GBP,8.75
2026-01-30,25,"1,686",GBP,5.56
2026-01-31,36,"1,913",GBP,12.09
2026-02-01,33,"1,105",GBP,10.74
2026-02-02,36,"1,818",GBP,8.61
2026-02-03,38,"1,574",GBP,13.28
2026-02-04,36,"1,463",GBP,11.83
2026-02-05,36,"1,494",GBP,13.23
2026-02-06,34,"1,463",GBP,13.16
2026-02-07,28,"1,755",GBP,15.74
2026-02-08,33,"1,582",GBP,13.08
2026-02-09,30,"1,431",GBP,11.82
2026-02-10,36,"1,342",GBP,11.75
2026-02-11,33,"1,652",GBP,12.35
2026-02-12,40,"2,382",GBP,11.83
2026-02-13,35,"1,525",GBP,10.04
2026-02-14,42,"2,118",GBP,17.17
2026-02-15,57,"2,310",GBP,12.57
2026-02-16,36,"1,288",GBP,9.78
2026-02-17,58,"1,719",GBP,14.22
2026-02-18,49,"1,910",GBP,13.96
2026-02-19,51,"1,725",GBP,13.55
